bpm,sdnn,rmssd,hr_mad,rri_mean,ibi_mean,lf,hf,lf/hf,rsa
84.21307799527303,62.46544440429051,39.74976552948612,25.0,0.7147083333333333,0.7153333333333333,2.547687923523139,2.2586411942089666,1.127973725997415,0.8147633909655858
84.57321848081439,61.20971066719734,39.46697970514886,25.0,0.7116250000000001,0.71125,2.8561874425141203,1.669999049977536,1.7102928546890732,0.5128230575527749
85.30397319291527,59.78730529288951,24.985895626521923,29.166666666666686,0.7040000000000001,0.7030833333333334,3.379215637749402,1.8020831443992107,1.875171879972267,0.5889432981878807
86.0973547529895,64.00500930199885,24.894022413942157,33.33333333333326,0.6971666666666667,0.6964583333333334,3.220884234399895,1.870600165384327,1.7218453702735257,0.6262593234307585
87.13403826171994,56.94624861205083,22.577184776221056,33.33333333333337,0.690875,0.6893333333333334,2.494887864533837,1.4583891339746713,1.7107147923780177,0.37733249370636424
87.17666483214089,55.08596879205641,21.183603679775928,33.33333333333326,0.6879583333333333,0.6881666666666666,2.5621100607426177,1.9741227900003389,1.2978473647741933,0.6801241427243112
87.52993184748571,53.680032490439835,21.15862791513162,29.16666666666663,0.6855416666666667,0.6854166666666667,2.0491755962008416,2.257736494970368,0.9076238971048461,0.8143627604988882
87.45475737684805,54.115365554136346,21.10858773175811,33.33333333333326,0.685625,0.6860833333333334,1.8462529339252491,1.4509603473578108,1.2724351408274275,0.3722256457256146
87.64832462342451,54.35815842506165,21.56294318720265,33.33333333333326,0.68475,0.68475,2.69188803350928,1.4261376441987121,1.8875373246470473,0.35496984201742554
87.94571252313385,54.053513834063494,21.423534981413102,33.33333333333326,0.6825833333333332,0.6823750000000001,2.770468782198864,1.165201500771529,2.377673544330676,0.1528940340971028
88.35450883173228,53.291886640189475,21.50564925322169,33.33333333333326,0.68,0.6797083333333334,2.766991750362399,1.3751210909621667,2.012180431634821,0.3185417933952416
88.64017907106883,53.19074454809843,21.46463138400501,33.33333333333326,0.6771666666666667,0.6766666666666665,2.7865971716735674,1.7381080005741887,1.6032359155777474,0.5527971656341731
88.8944316268629,54.08078840221895,22.701749499632175,33.33333333333337,0.67525,0.6748333333333332,2.686781298439333,2.1266143028519506,1.2634078943399167,0.7545311859020417
89.61528790545637,53.3154643908514,22.436222827264245,25.0,0.6700416666666666,0.6697916666666666,2.587738034768067,1.5480904632241603,1.6715677127670334,0.43702221223535404
90.22213783937725,50.89448969904654,22.26272394853274,29.16666666666663,0.6654583333333335,0.6654166666666668,2.37272076456376,1.4780092766901918,1.6053490339906102,0.39069609902200414
90.82568807339449,45.786526172900864,21.79061254903743,25.000000000000114,0.6609999999999999,0.6608333333333333,2.0154343284634915,1.4575594197755837,1.3827459115003369,0.37676340669664105
90.94156672620568,45.09530380673182,21.847159182699293,25.0,0.6604166666666665,0.6600833333333334,2.791382508312077,1.601777853981449,1.742677676166951,0.47111417110419557
90.6408952187182,43.53007681141459,21.423534981413106,25.0,0.6610416666666665,0.6615833333333333,3.3736935293908528,1.9445768501377667,1.7349242479935096,0.6650443956314993
90.87200407955125,35.53993270305945,19.49373335607945,25.0,0.6618333333333335,0.6609999999999999,1.9011786217534516,1.5411302695810905,1.2336261633938508,0.4325160885087657
90.81411644795516,35.127241932126445,19.47564172029697,25.0,0.6607500000000001,0.6604166666666665,2.68642434987413,1.4590435880476644,1.841222820127543,0.3777811443840856
90.76785941678341,39.16439714802015,20.369195303577534,25.0,0.6609583333333333,0.6617916666666666,3.3857454860595237,1.669243520205608,2.0283112949526303,0.5123705418885541
90.45111350802614,42.116593508810816,20.940923537986613,25.000000000000114,0.6633333333333333,0.6635,3.132076647815109,1.657400190377141,1.8897527983886655,0.505250224297732
90.03979031137499,41.0166149048254,20.20411912902995,24.999999999999886,0.6657500000000002,0.666125,3.567817474334863,1.2041856986039285,2.962846576297334,0.18580356971454848
89.65473869567951,37.76425351495833,20.22155902794309,24.999999999999886,0.6685000000000001,0.66875,3.5126773314571587,2.0446093904276044,1.7180187804588565,0.715206764124715
89.88083979572536,38.81112683191068,19.592938746675156,24.999999999999886,0.6672499999999999,0.6670833333333335,2.8668040979557396,1.3189836319078962,2.1734948248060797,0.2768614641872895
89.81288981288982,39.54842958738416,19.984836327153765,24.999999999999886,0.6680000000000001,0.6680416666666666,3.8538674945311455,1.5860033345517424,2.4299239544917963,0.46121722570208684
